minAge,maxAge,gender,Fat (mg),Protein (mg),Carbohydrate (mg),Fiber (mg),Vitamin A (mg),Vitamin C (mg),Vitamin D (mg),Vitamin E (mg),Vitamin K (mg),Vitamin B6 (mg),"Calcium, Ca (mg)","Iron, Fe (mg)","Zinc, Zn (mg) ","Sodium, Na (mg)","Potassium, K (mg)","Magnesium, Mg (mg)"
1,3,male,36000,13000,130000,19000,0.3,15,0.015,6,0.03,0.5,700,7,3,800,2000,80
1,3,female,36000,13000,130000,49000,0.3,15,0.015,6,0.03,0.5,700,7,3,800,2000,80
4,8,male,29000,19000,130000,25000,0.4,25,0.015,7,0.055,0.6,1000,10,5,1000,2300,130
4,8,female,29000,19000,130000,25000,0.4,25,0.015,7,0.055,0.6,1000,10,5,1000,2300,130
9,13,male,51000,34000,130000,31000,0.6,45,0.015,11,0.06,1,1300,8,8,1200,2500,240
9,13,female,51000,34000,130000,26000,0.6,45,0.015,11,0.06,1,1300,8,8,1500,2300,240
14,18,male,78000,52000,130000,38000,0.9,75,0.015,15,0.075,1.3,1300,11,11,1200,3000,410
14,18,female,69000,46000,130000,26000,0.7,65,0.015,15,0.075,1.2,1300,15,9,1500,2300,360
19,30,male,68000,56000,130000,38000,0.9,90,0.015,15,0.12,1.3,1000,8,11,1200,3400,400
19,30,female,56000,46000,130000,25000,0.7,75,0.015,15,0.09,1.3,1000,18,8,1500,2600,310
31,50,male,68000,56000,130000,38000,0.9,90,0.015,15,0.12,1.3,1000,8,11,1200,3400,420
31,50,female,56000,46000,130000,25000,0.7,75,0.015,15,0.09,1.3,1000,18,8,1500,2600,320
51,70,male,68000,56000,130000,30000,0.9,90,0.015,15,0.12,1.7,1000,8,11,1200,3400,420
51,70,female,56000,46000,130000,21000,0.7,75,0.015,15,0.09,1.5,1200,8,8,1500,2600,320
70,150,male,68000,56000,130000,30000,0.9,90,0.02,15,0.12,1.7,1200,8,11,1200,3400,420
70,150,female,56000,46000,130000,21000,0.7,75,0.02,15,0.09,1.5,1200,8,8,1500,2600,320
